   subj_id,    sex,age,rank,   session,     trial,react_time,  goodresp,     trial,rank_2,type
Abbott,         M,17,H,3,22,2185.7458,1,1,H,NoGo
Abbott,         M,17,H,3,23,2778.2855,1,0,H,Go
Abbott,         M,17,H,3,24,1337.7207,1,0,H,Go
Abbott,         M,17,H,3,25,8825.1327,1,0,H,Go
Abbott,         M,17,H,3,26,3147.3537,1,0,H,Go
Abbott,         M,17,H,3,27,7879.5063,1,0,H,Go
Abbott,         M,17,H,3,28,2204.2196,1,1,H,NoGo
Abbott,         M,17,H,3,29,1250.5641,1,0,H,Go
Abbott,         M,17,H,3,30,2203.7679,1,1,H,NoGo
Abbott,         M,17,H,3,31,3010.8235,1,0,H,Go
Abbott,         M,17,H,3,32,2719.0256,1,0,H,Go
Abbott,         M,17,H,3,33,2976.9554,1,0,H,Go
Abbott,         M,17,H,3,34,7690.9992,1,0,H,Go
Abbott,         M,17,H,3,35,2255.3614,1,0,H,Go
Abbott,         M,17,H,3,36,2203.3212,1,1,H,NoGo
Abbott,         M,17,H,3,37,3033.0317,0,1,H,NoGo
Abbott,         M,17,H,3,38,1787.5627,1,0,H,Go
Abbott,         M,17,H,3,39,3646.7868,1,0,H,Go
Abbott,         M,17,H,3,40,4832.3315,1,0,H,Go
Abbott,         M,17,H,4,1,1364.0905,1,0,H,Go
Abbott,         M,17,H,4,2,2331.6846,1,0,H,Go
Abbott,         M,17,H,4,3,2950.9122,1,0,H,Go
Abbott,         M,17,H,4,4,5247.716,0,1,H,NoGo
Abbott,         M,17,H,4,5,3623.2864,0,1,H,NoGo
Abbott,         M,17,H,4,6,1570.3788,1,0,H,Go
Abbott,         M,17,H,4,7,401.326,1,0,H,Go
Abbott,         M,17,H,4,8,3887.0617,1,0,H,Go
Abbott,         M,17,H,4,9,4058.991,1,0,H,Go
Abbott,         M,17,H,4,10,8000.9539,1,0,H,Go
Abbott,         M,17,H,4,11,2435.7633,1,0,H,Go
Abbott,         M,17,H,4,12,4268.8828,0,1,H,NoGo
Abbott,         M,17,H,4,13,1208.1266,1,0,H,Go
Abbott,         M,17,H,4,14,1611.8623,1,0,H,Go
Abbott,         M,17,H,4,15,3440.2907,1,0,H,Go
Abbott,         M,17,H,4,16,2206.0542,1,1,H,NoGo
Abbott,         M,17,H,4,17,2822.3189,1,0,H,Go
Abbott,         M,17,H,4,18,813.0606,1,0,H,Go
Abbott,         M,17,H,4,19,2693.0516,1,0,H,Go
Abbott,         M,17,H,4,20,2186.3399,1,1,H,NoGo
Abbott,         M,17,H,4,21,390.8908,1,0,H,Go
Abbott,         M,17,H,4,22,3569.1478,1,0,H,Go
Abbott,         M,17,H,4,23,3265.1691,0,1,H,NoGo
Abbott,         M,17,H,4,24,967.3219,1,0,H,Go
Abbott,         M,17,H,4,25,11382.8178,1,0,H,Go
Abbott,         M,17,H,4,26,1766.5629,1,0,H,Go
Abbott,         M,17,H,4,27,1773.993,1,0,H,Go
Abbott,         M,17,H,4,28,2190.5923,1,1,H,NoGo
Abbott,         M,17,H,4,29,899.619,1,0,H,Go
Abbott,         M,17,H,4,30,2745.0896,1,0,H,Go
Abbott,         M,17,H,4,31,2203.9021,1,1,H,NoGo
Abbott,         M,17,H,4,32,632.8725,1,0,H,Go
Abbott,         M,17,H,4,33,3956.0434,1,0,H,Go
Abbott,         M,17,H,4,34,2925.4692,1,0,H,Go
Abbott,         M,17,H,4,35,2075.4354,1,0,H,Go
Abbott,         M,17,H,4,36,4427.4442,0,1,H,NoGo
Abbott,         M,17,H,4,37,4839.7212,1,0,H,Go
Abbott,         M,17,H,4,38,4025.0185,0,1,H,NoGo
Abbott,         M,17,H,4,39,3930.2368,1,0,H,Go
Abbott,         M,17,H,4,40,6763.4594,1,0,H,Go
Abbott,         M,17,H,5,1,2444.0361,1,0,H,Go
Abbott,         M,17,H,5,2,2185.0694,1,0,H,Go
Abbott,         M,17,H,5,3,4041.25,0,1,H,NoGo
Abbott,         M,17,H,5,4,1071.1217,1,0,H,Go
Abbott,         M,17,H,5,5,3435.2943,0,1,H,NoGo
Abbott,         M,17,H,5,6,4250.1579,1,0,H,Go
Abbott,         M,17,H,5,7,1226.4109,1,0,H,Go
Abbott,         M,17,H,5,8,786.731,1,0,H,Go
Abbott,         M,17,H,5,9,1971.7081,1,0,H,Go
Abbott,         M,17,H,5,10,2189.0186,1,1,H,NoGo
Abbott,         M,17,H,5,11,8360.9535,1,0,H,Go
Abbott,         M,17,H,5,12,4062.3008,0,1,H,NoGo
Abbott,         M,17,H,5,13,847.715,1,0,H,Go
Abbott,         M,17,H,5,14,2898.7427,1,0,H,Go
Abbott,         M,17,H,5,15,529.9082,1,0,H,Go
Abbott,         M,17,H,5,16,2152.9929,1,0,H,Go
Abbott,         M,17,H,5,17,2203.8693,1,1,H,NoGo
Abbott,         M,17,H,5,18,1612.0653,1,0,H,Go
Abbott,         M,17,H,5,19,10963.0047,1,0,H,Go
Abbott,         M,17,H,5,20,2367.1754,1,0,H,Go
Abbott,         M,17,H,5,21,2032.2442,1,0,H,Go
Abbott,         M,17,H,5,22,2186.0919,1,1,H,NoGo
Abbott,         M,17,H,5,23,1534.7252,1,0,H,Go
Abbott,         M,17,H,5,24,3260.7742,1,0,H,Go
Abbott,         M,17,H,5,25,2255.8545,1,0,H,Go
Abbott,         M,17,H,5,26,413.6753,1,0,H,Go
Abbott,         M,17,H,5,27,3337.463,1,0,H,Go
Abbott,         M,17,H,5,28,2925.5925,1,0,H,Go
Abbott,         M,17,H,5,29,2204.7697,1,1,H,NoGo
Abbott,         M,17,H,5,30,3495.5326,0,1,H,NoGo
Abbott,         M,17,H,5,31,8319.0593,1,0,H,Go
Abbott,         M,17,H,5,32,4959.8918,1,0,H,Go
Abbott,         M,17,H,5,33,1361.568,1,0,H,Go
Abbott,         M,17,H,5,34,1611.3294,1,0,H,Go
Abbott,         M,17,H,5,35,3080.1686,1,0,H,Go
Abbott,         M,17,H,5,36,2204.4556,1,1,H,NoGo
Abbott,         M,17,H,5,37,3827.2686,1,0,H,Go
Abbott,         M,17,H,5,38,387.1596,1,0,H,Go
Abbott,         M,17,H,5,39,3928.6925,0,1,H,NoGo
Abbott,         M,17,H,5,40,967.5744,1,0,H,Go
Blossom,         M,3,H,1,1,3223.0133,1,0,H,Go
Blossom,         M,3,H,1,2,2187.4569,1,1,H,NoGo
Blossom,         M,3,H,1,3,2057.6,1,0,H,Go
Blossom,         M,3,H,1,4,4091.5008,1,0,H,Go
Blossom,         M,3,H,1,5,2186.161,1,1,H,NoGo
Blossom,         M,3,H,1,6,5742.3437,1,0,H,Go
Blossom,         M,3,H,1,7,1414.4844,1,0,H,Go
Blossom,         M,3,H,1,8,4092.7045,1,0,H,Go
Blossom,         M,3,H,1,9,1723.5838,1,0,H,Go
Blossom,         M,3,H,1,10,2470.374,1,0,H,Go
Blossom,         M,3,H,1,11,4273.0432,1,0,H,Go
Blossom,         M,3,H,1,12,2209.6927,1,1,H,NoGo
Blossom,         M,3,H,1,13,3346.3779,1,0,H,Go
Blossom,         M,3,H,1,14,2187.766,1,1,H,NoGo
Blossom,         M,3,H,1,15,6127.8324,1,0,H,Go
Blossom,         M,3,H,1,16,6089.4049,1,0,H,Go
Blossom,         M,3,H,1,17,3397.5192,1,0,H,Go
Blossom,         M,3,H,1,18,2203.1624,1,1,H,NoGo
Blossom,         M,3,H,1,19,1722.4807,1,0,H,Go
Blossom,         M,3,H,1,20,5303.067,1,0,H,Go
Blossom,         M,3,H,1,21,1182.7136,1,0,H,Go
Blossom,         M,3,H,1,22,2187.9544,1,1,H,NoGo
Blossom,         M,3,H,1,23,1336.0415,1,0,H,Go
Blossom,         M,3,H,1,24,1070.0324,1,0,H,Go
Blossom,         M,3,H,1,25,1878.6766,1,0,H,Go
Blossom,         M,3,H,1,26,2770.6679,1,0,H,Go
Blossom,         M,3,H,1,27,1310.7101,1,0,H,Go
Blossom,         M,3,H,1,28,2188.4759,1,1,H,NoGo
Blossom,         M,3,H,1,29,4057.3345,1,0,H,Go
Blossom,         M,3,H,1,30,4399.195,0,1,H,NoGo
Blossom,         M,3,H,1,31,535.0568,1,0,H,Go
Blossom,         M,3,H,1,32,1725.5855,1,0,H,Go
Blossom,         M,3,H,1,33,3449.9722,1,0,H,Go
Blossom,         M,3,H,1,34,589.238,1,0,H,Go
Blossom,         M,3,H,1,35,512.1408,1,0,H,Go
Blossom,         M,3,H,1,36,2202.276,1,1,H,NoGo
Blossom,         M,3,H,1,37,1645.638,1,0,H,Go
Blossom,         M,3,H,1,38,2203.9364,1,1,H,NoGo
Blossom,         M,3,H,1,39,3553.1068,1,0,H,Go
Blossom,         M,3,H,1,40,2675.5362,1,0,H,Go
Blossom,         M,3,H,2,1,2650.3863,1,0,H,Go
Blossom,         M,3,H,2,2,1053.3427,1,0,H,Go
Blossom,         M,3,H,2,3,3812.1686,0,1,H,NoGo
Blossom,         M,3,H,2,4,384.3106,1,0,H,Go
Blossom,         M,3,H,2,5,3585.8035,0,1,H,NoGo
Blossom,         M,3,H,2,6,1310.7821,1,0,H,Go
Blossom,         M,3,H,2,7,8111.7927,1,0,H,Go
Blossom,         M,3,H,2,8,796.7805,1,0,H,Go
Blossom,         M,3,H,2,9,3595.0253,1,0,H,Go
Blossom,         M,3,H,2,10,2187.5571,1,1,H,NoGo
Blossom,         M,3,H,2,11,2641.7743,1,0,H,Go
Blossom,         M,3,H,2,12,6137.6593,1,1,H,NoGo
Blossom,         M,3,H,2,13,5200.9885,1,0,H,Go
Blossom,         M,3,H,2,14,2753.475,1,0,H,Go
Blossom,         M,3,H,2,15,3242.3046,1,0,H,Go
Blossom,         M,3,H,2,16,1413.7957,1,0,H,Go
Blossom,         M,3,H,2,17,2187.965,1,1,H,NoGo
Blossom,         M,3,H,2,18,4608.8214,1,0,H,Go
Blossom,         M,3,H,2,19,3217.4551,1,0,H,Go
Blossom,         M,3,H,2,20,2229.4923,1,0,H,Go
Blossom,         M,3,H,2,21,409.4189,1,0,H,Go
Blossom,         M,3,H,2,22,4097.6496,0,1,H,NoGo
Blossom,         M,3,H,2,23,7544.8195,1,0,H,Go
Blossom,         M,3,H,2,24,9422.9381,1,0,H,Go
Blossom,         M,3,H,2,25,1027.2888,1,0,H,Go
Blossom,         M,3,H,2,26,1825.6149,1,0,H,Go
Blossom,         M,3,H,2,27,1685.509,1,0,H,Go
Blossom,         M,3,H,2,28,641.2792,1,0,H,Go
Blossom,         M,3,H,2,29,2205.7336,1,1,H,NoGo
Blossom,         M,3,H,2,30,2186.6257,1,1,H,NoGo
Blossom,         M,3,H,2,31,3810.5164,1,0,H,Go
Blossom,         M,3,H,2,32,1172.935,1,0,H,Go
Blossom,         M,3,H,2,33,4916.8798,1,0,H,Go
Blossom,         M,3,H,2,34,3930.3706,1,0,H,Go
Blossom,         M,3,H,2,35,2470.0021,1,0,H,Go
Blossom,         M,3,H,2,36,4921.9831,0,1,H,NoGo
Blossom,         M,3,H,2,37,1362.788,1,0,H,Go
Blossom,         M,3,H,2,38,5998.6735,1,0,H,Go
Blossom,         M,3,H,2,39,2204.2317,1,1,H,NoGo
Blossom,         M,3,H,2,40,2959.4923,1,0,H,Go
Blossom,         M,3,H,3,1,2203.6556,1,1,H,NoGo
Blossom,         M,3,H,3,2,5405.6161,1,0,H,Go
Blossom,         M,3,H,3,3,4891.4805,1,0,H,Go
Blossom,         M,3,H,3,4,657.8867,1,0,H,Go
Blossom,         M,3,H,3,5,2187.5296,1,1,H,NoGo
Blossom,         M,3,H,3,6,3681.5892,1,0,H,Go
Blossom,         M,3,H,3,7,1156.2953,1,0,H,Go
Blossom,         M,3,H,3,8,3190.8384,1,0,H,Go
Blossom,         M,3,H,3,9,1285.3598,1,0,H,Go
Blossom,         M,3,H,3,10,3396.1874,1,0,H,Go
Blossom,         M,3,H,3,11,2188.2047,1,1,H,NoGo
Blossom,         M,3,H,3,12,4078.7617,1,0,H,Go
Blossom,         M,3,H,3,13,2187.8781,1,1,H,NoGo
Blossom,         M,3,H,3,14,2032.119,1,0,H,Go
Blossom,         M,3,H,3,15,788.5672,1,0,H,Go
Blossom,         M,3,H,3,16,975.9827,1,0,H,Go
Blossom,         M,3,H,3,17,8618.395,1,0,H,Go
Blossom,         M,3,H,3,18,2204.5378,1,0,H,Go
Blossom,         M,3,H,3,19,3706.4505,1,0,H,Go
Blossom,         M,3,H,3,20,2187.4805,1,1,H,NoGo
Blossom,         M,3,H,3,21,3082.8164,0,1,H,NoGo
Blossom,         M,3,H,3,22,616.1482,1,0,H,Go
Blossom,         M,3,H,3,23,86355.5751,1,0,H,Go
Blossom,         M,3,H,3,24,309523.4669,1,0,H,Go
Blossom,         M,3,H,3,25,2727.9735,1,0,H,Go
Blossom,         M,3,H,3,26,4103.3961,1,0,H,Go
Blossom,         M,3,H,3,27,4014.4058,1,0,H,Go
Blossom,         M,3,H,3,28,2187.5949,1,1,H,NoGo
Blossom,         M,3,H,3,29,1233.8879,1,0,H,Go
Blossom,         M,3,H,3,30,1803.9207,1,0,H,Go
Blossom,         M,3,H,3,31,2185.4121,1,1,H,NoGo
Blossom,         M,3,H,3,32,8034.622,1,0,H,Go
Blossom,         M,3,H,3,33,1595.3686,1,0,H,Go
Blossom,         M,3,H,3,34,3629.5249,1,0,H,Go
Blossom,         M,3,H,3,35,1765.5203,1,0,H,Go
Blossom,         M,3,H,3,36,2199.868,1,1,H,NoGo
Blossom,         M,3,H,3,37,512.4799,1,0,H,Go
Blossom,         M,3,H,3,38,3050.5008,0,1,H,NoGo
Blossom,         M,3,H,3,39,2882.1786,1,0,H,Go
Blossom,         M,3,H,3,40,1611.6391,1,0,H,Go
Blossom,         M,3,H,4,1,6918.8286,0,1,H,NoGo
Blossom,         M,3,H,4,2,1500.8892,1,0,H,Go
Blossom,         M,3,H,4,3,2924.9558,1,0,H,Go
Blossom,         M,3,H,4,4,3628.953,1,0,H,Go
Blossom,         M,3,H,4,5,2203.5719,1,1,H,NoGo
Blossom,         M,3,H,4,6,795.1556,1,0,H,Go
Blossom,         M,3,H,4,7,3913.0569,1,0,H,Go
Blossom,         M,3,H,4,8,512.4155,1,0,H,Go
Blossom,         M,3,H,4,9,1972.0958,1,0,H,Go
Blossom,         M,3,H,4,10,2642.1574,1,0,H,Go
Blossom,         M,3,H,4,11,2188.9407,1,1,H,NoGo
Blossom,         M,3,H,4,12,848.4043,1,0,H,Go
Blossom,         M,3,H,4,13,2188.5891,1,1,H,NoGo
Blossom,         M,3,H,4,14,2857.3233,1,0,H,Go
Blossom,         M,3,H,4,15,924.3935,1,0,H,Go
Blossom,         M,3,H,4,16,2676.9236,1,0,H,Go
Blossom,         M,3,H,4,17,5587.0204,1,0,H,Go
Blossom,         M,3,H,4,18,503.2027,1,0,H,Go
Blossom,         M,3,H,4,19,2932.7847,1,0,H,Go
Blossom,         M,3,H,4,20,2186.9295,1,1,H,NoGo
Blossom,         M,3,H,4,21,2187.9784,1,1,H,NoGo
Blossom,         M,3,H,4,22,4753.6849,1,0,H,Go
Blossom,         M,3,H,4,23,1388.3508,1,0,H,Go
Blossom,         M,3,H,4,24,4874.8764,1,0,H,Go
Blossom,         M,3,H,4,25,1465.4388,1,0,H,Go
Blossom,         M,3,H,4,26,2188.4673,1,1,H,NoGo
Blossom,         M,3,H,4,27,3243.1095,1,0,H,Go
Blossom,         M,3,H,4,28,898.9016,1,0,H,Go
Blossom,         M,3,H,4,29,2199.7236,1,1,H,NoGo
Blossom,         M,3,H,4,30,1070.5551,1,0,H,Go
Blossom,         M,3,H,4,31,1799.1295,1,0,H,Go
Blossom,         M,3,H,4,32,7456.5011,1,0,H,Go
Blossom,         M,3,H,4,33,2933.2975,1,0,H,Go
Blossom,         M,3,H,4,34,2186.6571,1,1,H,NoGo
Blossom,         M,3,H,4,35,1129.446,1,0,H,Go
Blossom,         M,3,H,4,36,1026.7748,1,0,H,Go
Blossom,         M,3,H,4,37,6256.7182,1,0,H,Go
Blossom,         M,3,H,4,38,2109.1644,1,0,H,Go
Blossom,         M,3,H,4,39,2187.1085,1,1,H,NoGo
Blossom,         M,3,H,4,40,4762.1986,1,0,H,Go
Blossom,         M,3,H,5,1,4041.2923,1,0,H,Go
Blossom,         M,3,H,5,2,898.5189,1,0,H,Go
Blossom,         M,3,H,5,3,1954.5726,1,0,H,Go
Blossom,         M,3,H,5,4,3406.254,0,1,H,NoGo
Blossom,         M,3,H,5,5,2152.1441,1,0,H,Go
Blossom,         M,3,H,5,6,3705.8137,1,0,H,Go
Blossom,         M,3,H,5,7,2204.9985,1,1,H,NoGo
Blossom,         M,3,H,5,8,1029.0825,1,0,H,Go
Blossom,         M,3,H,5,9,2186.2199,1,1,H,NoGo
Blossom,         M,3,H,5,10,2727.0964,1,0,H,Go
Blossom,         M,3,H,5,11,795.8555,1,0,H,Go
Blossom,         M,3,H,5,12,1070.9285,1,0,H,Go
Blossom,         M,3,H,5,13,2995.35,1,0,H,Go
Blossom,         M,3,H,5,14,4685.0531,1,0,H,Go
Blossom,         M,3,H,5,15,5089.0708,1,0,H,Go
Blossom,         M,3,H,5,16,2186.5675,1,1,H,NoGo
Blossom,         M,3,H,5,17,2203.6099,1,1,H,NoGo
Blossom,         M,3,H,5,18,1285.8721,1,0,H,Go
Blossom,         M,3,H,5,19,731.231,1,0,H,Go
Blossom,         M,3,H,5,20,1362.8023,1,0,H,Go
Blossom,         M,3,H,5,21,3955.7015,0,1,H,NoGo
Blossom,         M,3,H,5,22,4220.3293,1,0,H,Go
Blossom,         M,3,H,5,23,4497.0636,1,0,H,Go
Blossom,         M,3,H,5,24,9605.9983,1,0,H,Go
Blossom,         M,3,H,5,25,3036.381,1,0,H,Go
Blossom,         M,3,H,5,26,1740.1258,1,0,H,Go
Blossom,         M,3,H,5,27,1875.3915,1,0,H,Go
Blossom,         M,3,H,5,28,2187.0019,1,1,H,NoGo
Blossom,         M,3,H,5,29,10635.0924,1,0,H,Go
Blossom,         M,3,H,5,30,2187.0675,1,1,H,NoGo
Blossom,         M,3,H,5,31,4299.493,1,0,H,Go
Blossom,         M,3,H,5,32,3242.5029,1,0,H,Go
Blossom,         M,3,H,5,33,4117.5379,1,0,H,Go
Blossom,         M,3,H,5,34,2186.7966,1,1,H,NoGo
Blossom,         M,3,H,5,35,9185.3791,1,0,H,Go
Blossom,         M,3,H,5,36,1594.0229,1,0,H,Go
Blossom,         M,3,H,5,37,7234.8459,1,0,H,Go
Blossom,         M,3,H,5,38,6228.9469,1,0,H,Go
Blossom,         M,3,H,5,39,1697.0402,1,0,H,Go
Blossom,         M,3,H,5,40,2186.7566,1,1,H,NoGo
Nodon,         M,15,H,1,1,2149.3155,1,,H,Go
Nodon,         M,15,H,1,2,588.5709,1,,H,Go
Nodon,         M,15,H,1,3,2197.4385,1,,H,NoGo
Nodon,         M,15,H,1,4,2018.3411,1,,H,Go
Nodon,         M,15,H,1,5,2202.6329,1,,H,NoGo
Nodon,         M,15,H,1,6,582.4116,1,,H,Go
Nodon,         M,15,H,1,7,3110.1312,1,,H,Go
Nodon,         M,15,H,1,8,2559.0474,1,,H,Go
Nodon,         M,15,H,1,9,5427.2337,1,,H,Go
Nodon,         M,15,H,1,10,2204.2381,1,,H,NoGo
Nodon,         M,15,H,1,11,1245.4904,1,,H,Go
Nodon,         M,15,H,1,12,5209.8495,0,,H,NoGo
Nodon,         M,15,H,1,13,10421.2632,1,,H,Go
Nodon,         M,15,H,1,14,3129.3247,1,,H,Go
Nodon,         M,15,H,1,15,755.6405,1,,H,Go
Nodon,         M,15,H,1,16,601.7822,1,,H,Go
Nodon,         M,15,H,1,17,5377.2272,0,,H,NoGo
Nodon,         M,15,H,1,18,2936.2841,1,,H,Go
Nodon,         M,15,H,1,19,1047.8233,1,,H,Go
Nodon,         M,15,H,1,20,3717.9848,1,,H,Go
Nodon,         M,15,H,1,21,1846.2472,1,,H,Go
Nodon,         M,15,H,1,22,2188.5339,1,,H,NoGo
Nodon,         M,15,H,1,23,2198.3189,1,,H,Go
Nodon,         M,15,H,1,24,6431.695,1,,H,Go
Nodon,         M,15,H,1,25,4576.9457,1,,H,Go
Nodon,         M,15,H,1,26,5157.1549,1,,H,Go
Nodon,         M,15,H,1,27,2189.1371,1,,H,NoGo
Nodon,         M,15,H,1,28,919.7219,1,,H,Go
Nodon,         M,15,H,1,29,2204.6675,1,,H,NoGo
