subj_id,sex,age,rank,     trial,ordre_block,   session,react_time,   picture,success,type_picture,stim,expe_pic,Bared teeth,rank_2,pic-control,control_Stroop
Adele,         F,3,B,29,5,1,43671.1058,10,0,Neutral,pic,0,0,M,39990.0398,-39990.0398
Adele,         F,3,B,30,5,1,16538.875,9,1,Neutral,pic,0,0,M,12857.809,-12857.809
Adele,         F,3,B,33,6,1,4539.1759,4,1,Object,pic,0,0,M,858.1099,-858.1099
Adele,         F,3,B,34,6,1,2786.077,3,1,Object,pic,0,0,M,-894.989,894.989
Adele,         F,3,B,35,6,1,5281.2133,1,1,Object,pic,0,0,M,1600.1473,-1600.1473
Adele,         F,3,B,36,6,1,1571.2639,2,1,Object,pic,0,0,M,-2109.8021,2109.8021
Adele,         F,3,B,1,1,2,39.8438,0,1,None,None,0,0,M,-3641.2222,3641.2222
Adele,         F,3,B,2,1,2,2696.3972,0,1,None,None,0,0,M,-984.6688,984.6688
Adele,         F,3,B,7,2,2,6567.5716,0,1,None,None,0,0,M,2886.5056,-2886.5056
Adele,         F,3,B,8,2,2,4881.4275,0,1,None,None,0,0,M,1200.3615,-1200.3615
Adele,         F,3,B,13,3,2,1600.5975,0,1,None,None,0,0,M,-2080.4685,2080.4685
Adele,         F,3,B,14,3,2,222.887,0,1,None,None,0,0,M,-3458.179,3458.179
Adele,         F,3,B,19,4,2,845.5051,0,1,None,None,0,0,M,-2835.5609,2835.5609
Adele,         F,3,B,20,4,2,2015.1929,0,1,None,None,0,0,M,-1665.8731,1665.8731
Adele,         F,3,B,25,5,2,5515.5686,0,1,None,None,0,0,M,1834.5026,-1834.5026
Adele,         F,3,B,26,5,2,3838.7226,0,1,None,None,0,0,M,157.6566,-157.6566
Adele,         F,3,B,31,6,2,1702.2741,0,1,None,None,0,0,M,-1978.7919,1978.7919
Adele,         F,3,B,32,6,2,10991.157,0,1,None,None,0,0,M,7310.091,-7310.091
Adele,         F,3,B,3,1,2,1211.4868,10,1,Neutral,pic,0,0,M,-2469.5792,2469.5792
Adele,         F,3,B,4,1,2,515.1403,11,1,Neutral,pic,0,0,M,-3165.9257,3165.9257
Adele,         F,3,B,5,1,2,877.2907,9,1,Neutral,pic,0,0,M,-2803.7753,2803.7753
Adele,         F,3,B,6,1,2,1086.6857,12,1,Neutral,pic,0,0,M,-2594.3803,2594.3803
Adele,         F,3,B,9,2,2,1743.272,6,1,Threat,pic,0,0,M,-1937.794,1937.794
Adele,         F,3,B,10,2,2,2078.5272,8,1,Threat,pic,0,0,M,-1602.5388,1602.5388
Adele,         F,3,B,11,2,2,2425.1703,5,1,Threat,pic,0,0,M,-1255.8957,1255.8957
Adele,         F,3,B,12,2,2,171.2828,7,1,Threat,pic,0,0,M,-3509.7832,3509.7832
